Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Stock
2011-06-01,AXISBANK,EQ,1282.5,1282.25,1291.75,1265.2,1277.25,1278.25,1278.97,792282,101330661025000.0,26996.0,168311.0,0.2123999999999999,AXISBANK
2011-06-02,AXISBANK,EQ,1278.25,1255.1,1285.0,1255.1,1280.0,1273.75,1271.87,867797,110372646740000.02,29661.0,329956.0,0.3802,AXISBANK
2011-06-03,AXISBANK,EQ,1273.75,1272.0,1288.0,1224.0,1243.0,1242.75,1258.9,1413508,177946669260000.0,45306.0,589189.0,0.4168,AXISBANK
2011-06-06,AXISBANK,EQ,1242.75,1242.0,1242.0,1208.15,1235.1,1235.45,1226.1,1886949,231359439815000.0,46968.0,970371.0,0.5143,AXISBANK
2011-06-07,AXISBANK,EQ,1235.45,1227.0,1252.9,1224.75,1245.8,1244.65,1243.6,1043816,129808553575000.0,30220.0,411664.0,0.3944,AXISBANK
2011-06-08,AXISBANK,EQ,1244.65,1230.9,1236.0,1217.15,1231.7,1228.75,1227.02,1382341,169615839165000.0,60241.0,630470.0,0.4561,AXISBANK
2011-06-09,AXISBANK,EQ,1228.75,1229.9,1252.15,1229.0,1246.35,1246.4,1241.35,1049055,130224488780000.0,36765.0,380954.0,0.3631,AXISBANK
2011-06-10,AXISBANK,EQ,1246.4,1242.0,1246.0,1225.0,1231.95,1235.15,1234.68,812045,100261367490000.0,32779.0,333573.0,0.4108,AXISBANK
2011-06-13,AXISBANK,EQ,1235.15,1230.2,1238.0,1217.0,1232.4,1233.3,1228.21,1111075,136463674375000.0,33243.0,580183.0,0.5222,AXISBANK
2011-06-14,AXISBANK,EQ,1233.3,1235.0,1264.2,1235.0,1262.6,1260.05,1252.1,1054703,132059476740000.02,34341.0,510436.0,0.484,AXISBANK
2011-06-15,AXISBANK,EQ,1260.05,1259.7,1260.0,1221.0,1224.55,1224.4,1239.16,1256065,155646569120000.0,52029.0,664516.0,0.529,AXISBANK
2011-06-16,AXISBANK,EQ,1224.4,1219.95,1230.0,1205.3,1222.2,1217.85,1216.05,2721246,330916610980000.0,49420.0,1422542.0,0.5228,AXISBANK
2011-06-17,AXISBANK,EQ,1217.85,1244.7,1244.7,1213.5,1224.0,1222.55,1225.12,1261081,154497538505000.0,29368.0,498759.0,0.3954999999999999,AXISBANK
2011-06-20,AXISBANK,EQ,1222.55,1225.0,1237.5,1201.0,1230.0,1226.4,1225.31,1426140,174746881150000.0,35990.0,588207.0,0.4124,AXISBANK
2011-06-21,AXISBANK,EQ,1226.4,1231.0,1260.0,1226.4,1245.0,1241.85,1245.47,1295258,161319984790000.0,44337.0,442908.0,0.3419,AXISBANK
2011-06-22,AXISBANK,EQ,1241.85,1253.0,1267.6,1245.0,1253.0,1254.65,1255.42,1429712,179489459675000.0,45536.0,564305.0,0.3947,AXISBANK
2011-06-23,AXISBANK,EQ,1254.65,1247.35,1252.0,1232.85,1243.75,1244.35,1243.68,954141,118664280630000.0,32869.0,402084.0,0.4214,AXISBANK
2011-06-24,AXISBANK,EQ,1244.35,1251.0,1278.0,1249.95,1275.0,1272.25,1269.46,1089884,138356840845000.0,43465.0,511032.0,0.4689,AXISBANK
2011-06-27,AXISBANK,EQ,1272.25,1267.0,1312.4,1250.0,1311.0,1306.4,1296.31,1751561,227055792535000.0,63517.0,888832.0,0.5075000000000001,AXISBANK
2011-06-28,AXISBANK,EQ,1306.4,1311.05,1312.1,1290.25,1306.0,1302.9,1301.52,1376817,179195776305000.0,56060.0,572161.0,0.4156,AXISBANK
2011-06-29,AXISBANK,EQ,1302.9,1312.0,1316.0,1286.6,1293.5,1293.55,1300.58,1337460,173947091385000.0,33547.0,645539.0,0.4827,AXISBANK
2011-06-30,AXISBANK,EQ,1293.55,1295.7,1306.0,1281.1,1284.5,1289.55,1291.17,1511499,195160373050000.0,42488.0,797816.0,0.5278,AXISBANK
2011-07-01,AXISBANK,EQ,1289.55,1314.0,1315.0,1293.0,1312.0,1309.15,1303.13,855494,111481665405000.0,35806.0,344498.0,0.4027,AXISBANK
2011-07-04,AXISBANK,EQ,1309.15,1323.9,1337.7,1312.55,1337.2,1334.2,1326.75,878836,116599618209999.98,32315.0,396539.0,0.4512,AXISBANK
